lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,RandomForest,0.67,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.68,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.69,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.7,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.71,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.72,0.993607305936073,0.9961977186311787,0.9776119402985075,0.9868173258003766,0.998998357667527,0.9977744390482021,0.9882013752278511,826,1,6,262
T+1,RandomForest,0.73,0.993607305936073,0.9961977186311787,0.9776119402985075,0.9868173258003766,0.998998357667527,0.9977744390482021,0.9882013752278511,826,1,6,262
T+1,RandomForest,0.74,0.993607305936073,0.9961977186311787,0.9776119402985075,0.9868173258003766,0.998998357667527,0.9977744390482021,0.9882013752278511,826,1,6,262
T+1,RandomForest,0.75,0.993607305936073,0.9961977186311787,0.9776119402985075,0.9868173258003766,0.998998357667527,0.9977744390482021,0.9882013752278511,826,1,6,262
T+1,RandomForest,0.76,0.9945205479452055,1.0,0.9776119402985075,0.9886792452830189,0.998998357667527,0.9977744390482021,0.9888059701492538,827,0,6,262
T+1,RandomForest,0.77,0.9945205479452055,1.0,0.9776119402985075,0.9886792452830189,0.998998357667527,0.9977744390482021,0.9888059701492538,827,0,6,262
T+1,RandomForest,0.78,0.9945205479452055,1.0,0.9776119402985075,0.9886792452830189,0.998998357667527,0.9977744390482021,0.9888059701492538,827,0,6,262
T+1,RandomForest,0.79,0.9945205479452055,1.0,0.9776119402985075,0.9886792452830189,0.998998357667527,0.9977744390482021,0.9888059701492538,827,0,6,262
T+1,RandomForest,0.8,0.9945205479452055,1.0,0.9776119402985075,0.9886792452830189,0.998998357667527,0.9977744390482021,0.9888059701492538,827,0,6,262
T+1,RandomForest,0.81,0.993607305936073,1.0,0.9738805970149254,0.9867674858223062,0.998998357667527,0.9977744390482021,0.9869402985074627,827,0,7,261
T+1,RandomForest,0.82,0.993607305936073,1.0,0.9738805970149254,0.9867674858223062,0.998998357667527,0.9977744390482021,0.9869402985074627,827,0,7,261
T+1,RandomForest,0.83,0.9926940639269406,1.0,0.9701492537313433,0.9848484848484849,0.998998357667527,0.9977744390482021,0.9850746268656716,827,0,8,260
T+1,RandomForest,0.84,0.9926940639269406,1.0,0.9701492537313433,0.9848484848484849,0.998998357667527,0.9977744390482021,0.9850746268656716,827,0,8,260
T+1,RandomForest,0.85,0.9917808219178083,1.0,0.9664179104477612,0.9829222011385199,0.998998357667527,0.9977744390482021,0.9832089552238805,827,0,9,259
T+1,RandomForest,0.86,0.9863013698630136,1.0,0.9440298507462687,0.9712092130518234,0.998998357667527,0.9977744390482021,0.9720149253731343,827,0,15,253
T+1,RandomForest,0.87,0.9817351598173516,1.0,0.9253731343283582,0.9612403100775194,0.998998357667527,0.9977744390482021,0.9626865671641791,827,0,20,248
T+1,RandomForest,0.88,0.9799086757990868,1.0,0.917910447761194,0.9571984435797666,0.998998357667527,0.9977744390482021,0.958955223880597,827,0,22,246
T+1,RandomForest,0.89,0.9771689497716894,1.0,0.9067164179104478,0.9510763209393346,0.998998357667527,0.9977744390482021,0.9533582089552239,827,0,25,243
T+1,RandomForest,0.9,0.9762557077625571,1.0,0.9029850746268657,0.9490196078431372,0.998998357667527,0.9977744390482021,0.9514925373134329,827,0,26,242
T+1,RandomForest,0.91,0.9744292237442922,1.0,0.8955223880597015,0.9448818897637795,0.998998357667527,0.9977744390482021,0.9477611940298507,827,0,28,240
T+1,RandomForest,0.92,0.9643835616438357,1.0,0.8544776119402985,0.9215291750503019,0.998998357667527,0.9977744390482021,0.9272388059701493,827,0,39,229
T+1,RandomForest,0.93,0.9497716894977168,1.0,0.7947761194029851,0.8856548856548857,0.998998357667527,0.9977744390482021,0.8973880597014925,827,0,55,213
T+1,RandomForest,0.94,0.9360730593607306,1.0,0.7388059701492538,0.8497854077253219,0.998998357667527,0.9977744390482021,0.8694029850746269,827,0,70,198
T+1,RandomForest,0.95,0.9287671232876712,1.0,0.7089552238805971,0.8296943231441049,0.998998357667527,0.9977744390482021,0.8544776119402986,827,0,78,190
T+1,XGBoost,0.05,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.9991066433250916,0.9979781644281557,0.9938502770308073,823,4,2,266
T+1,XGBoost,0.06,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.9991066433250916,0.9979781644281557,0.9938502770308073,823,4,2,266
T+1,XGBoost,0.07,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9991066433250916,0.9979781644281557,0.9944548719522099,824,3,2,266
T+1,XGBoost,0.08,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9991066433250916,0.9979781644281557,0.9944548719522099,824,3,2,266
T+1,XGBoost,0.09,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9991066433250916,0.9979781644281557,0.9944548719522099,824,3,2,266
T+1,XGBoost,0.1,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9991066433250916,0.9979781644281557,0.9944548719522099,824,3,2,266
T+1,XGBoost,0.11,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9991066433250916,0.9979781644281557,0.9944548719522099,824,3,2,266
T+1,XGBoost,0.12,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9991066433250916,0.9979781644281557,0.9944548719522099,824,3,2,266
T+1,XGBoost,0.13,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9991066433250916,0.9979781644281557,0.9944548719522099,824,3,2,266
T+1,XGBoost,0.14,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.15,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.16,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.17,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.18,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.19,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.2,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.21,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.22,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.23,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.24,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.25,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.26,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.27,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.28,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.29,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.3,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.31,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.32,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.33,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.34,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.35,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.36,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.37,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.38,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.39,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.4,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.41,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.42,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.43,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.44,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.45,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.46,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.47,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.48,0.9963470319634703,0.9925373134328358,0.9925373134328358,0.9925373134328358,0.9991066433250916,0.9979781644281557,0.9950594668736126,825,2,2,266
T+1,XGBoost,0.49,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.5,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.51,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.52,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.53,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.54,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.55,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.56,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.57,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.58,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.59,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.6,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.61,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.62,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.63,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.64,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.65,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.66,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.67,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.68,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.69,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.7,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.71,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.72,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.73,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.74,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.75,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.76,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.77,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.78,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
T+1,XGBoost,0.79,0.9972602739726028,0.9962546816479401,0.9925373134328358,0.994392523364486,0.9991066433250916,0.9979781644281557,0.9956640617950152,826,1,2,266
